REGIJA,STEV_UCENCEV,VZROK,TRAJANJE
Gorenjska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,4 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,4 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Podravska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka,4 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri vzgojitelju,10 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri vzgojitelju,10 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri vzgojitelju,10 days
Osrednjeslovenska,zelo malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,4 days
Obalno-kraška,malo,Okužba s Covid-19 pri vzgojitelju,10 days
Osrednjeslovenska,malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,zelo malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Podravska,zelo malo,Okužba s Covid-19 pri učitelju,8 days
Podravska,zelo malo,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Obalno-kraška,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri vzgojitelju,2 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri vzgojitelju,4 days
Goriška,zelo malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,7 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,7 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,7 days
Podravska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,11 days
Obalno-kraška,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,7 days
Podravska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri učitelju,7 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,7 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,6 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,5 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Gorenjska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,6 days
Gorenjska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,10 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri vzgojitelju,10 days
Obalno-kraška,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Gorenjska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,10 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri vzgojitelju,10 days
Goriška,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Goriška,malo,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Koroška,malo,Okužba s Covid-19 pri vzgojitelju,6 days
Podravska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Podravska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Gorenjska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,4 days
Podravska,zelo malo,Sum na okužbo s Covid-19 pri drugem delavcu,9 days
Podravska,zelo malo,Sum na okužbo s Covid-19 pri drugem delavcu,9 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Zasavska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,3 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Goriška,zelo malo,Okužba s Covid-19 pri vzgojitelju,10 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri vzgojitelju,9 days
Jugovzhodna Slovenija,malo,Sum na okužbo s Covid-19 pri drugem delavcu,10 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri drugem delavcu,7 days
Primorsko-notranjska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Primorsko-notranjska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Primorsko-notranjska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,5 days
Pomurska,zelo malo,Okužba s Covid-19 pri drugem delavcu,9 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,3 days
Pomurska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,5 days
Podravska,zelo malo,Okužba s Covid-19 pri učitelju,6 days
Posavska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Podravska,zelo veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Jugovzhodna Slovenija,veliko,Sum na okužbo s Covid-19 pri učitelju,14 days
Posavska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Obalno-kraška,zelo malo,Okužba s Covid-19 pri vzgojitelju,10 days
Zasavska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Posavska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Obalno-kraška,zelo malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Savinjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Gorenjska,zelo malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,3 days
Posavska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Savinjska,malo,Okužba s Covid-19 pri učitelju,9 days
Savinjska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,6 days
Savinjska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,7 days
Gorenjska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Jugovzhodna Slovenija,zelo malo,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu,8 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri vzgojitelju,9 days
Goriška,zelo malo,Okužba s Covid-19 pri učitelju,4 days
Osrednjeslovenska,zelo malo,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,9 days
Goriška,zelo malo,Okužba s Covid-19 pri učitelju,4 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri vzgojitelju,12 days
Podravska,zelo malo,Okužba s Covid-19 pri vzgojitelju,10 days
Posavska,malo,Okužba s Covid-19 pri učitelju,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka,9 days
Podravska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri vzgojitelju,9 days
Podravska,zelo malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri vzgojitelju,9 days
Podravska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,4 days
Gorenjska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,4 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Podravska,srednje,Okužba s Covid-19 pri učitelju,9 days
Podravska,zelo malo,Okužba s Covid-19 pri učitelju,6 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Savinjska,malo,Okužba s Covid-19 pri učitelju,9 days
Gorenjska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Savinjska,malo,Okužba s Covid-19 pri učitelju,9 days
Posavska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,10 days
Podravska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Podravska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Savinjska,malo,Sum na okužbo s Covid-19 pri drugem delavcu,8 days
Jugovzhodna Slovenija,zelo malo,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu,10 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,6 days
Podravska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,zelo malo,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,4 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,8 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,8 days
Podravska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Podravska,zelo malo,Okužba s Covid-19 pri vzgojitelju,9 days
Podravska,zelo malo,Okužba s Covid-19 pri vzgojitelju,9 days
Gorenjska,zelo malo,Okužba s Covid-19 pri učitelju,3 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri drugem delavcu,9 days
Gorenjska,zelo malo,Okužba s Covid-19 pri učitelju,3 days
Gorenjska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Gorenjska,veliko,Sum na okužbo s Covid-19 pri učitelju,10 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri vzgojitelju,10 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka,9 days
Obalno-kraška,malo,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,5 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri vzgojitelju,10 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri vzgojitelju,10 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri vzgojitelju,9 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri vzgojitelju,10 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Zasavska,malo,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,10 days
Primorsko-notranjska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Gorenjska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,-7 days
Gorenjska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,0 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Savinjska,malo,Okužba s Covid-19 pri učitelju,10 days
Podravska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,1 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri učitelju,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Podravska,zelo malo,Sum na okužbo s Covid-19 pri drugem delavcu,0 days
Gorenjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Primorsko-notranjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri učitelju,7 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka,2 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka,2 days
Podravska,zelo malo,Okužba s Covid-19 pri drugem delavcu,9 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,11 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,4 days
Gorenjska,veliko,Okužba s Covid-19 pri učitelju,4 days
Pomurska,srednje,Okužba s Covid-19 pri otroku ali več otrocih skupine,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,1 days
Savinjska,srednje,Okužba s Covid-19 pri učitelju,10 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,srednje,Okužba s Covid-19 pri učitelju,-21 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,4 days
Pomurska,malo,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri drugem strokovnem delavcu,6 days
